Ordered Time,From_Suburb,From_State,From_State,To_Suburb,To_State,To_Postcode,Items,Weight,Volume,Allowed Time (Days)
TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,INT,REAL,REAL,INT
3/05/2020 8:00,TRUGANINA,VIC,3029,CHELTENHAM,VIC,3192,1,4.14,0.0308,
3/05/2020 8:01,TRUGANINA,VIC,3029,HILLARYS,WA,6025,1,0.05,0.0034,
3/05/2020 8:04,REGENTS PARK,NSW,2143,VIRGINIA,QLD,4014,1,3,0,
3/05/2020 8:10,SMITHFIELD,NSW,2164,UNLEY,SA,5061,4,33.15,0.1618,
3/05/2020 8:10,TRUGANINA,VIC,3029,ARTARMON,NSW,2064,2,250,3.672,
3/05/2020 8:13,BAYSWATER,VIC,3153,FORRESTFIELD,WA,6058,1,7.5,0.098,
3/05/2020 8:16,DANDENONG SOUTH,VIC,3175,PERTH AIRPORT,WA,6105,1,11,0.016,
3/05/2020 8:17,TRUGANINA,VIC,3029,HORSHAM,VIC,3400,1,28.5,0,
3/05/2020 8:17,INGLEBURN,NSW,2565,WANGARA,WA,6065,1,3,0.0034,
3/05/2020 8:28,TRUGANINA,VIC,3029,KOTARA,NSW,2289,4,23.2,0.2772,
3/05/2020 8:28,ROWVILLE,VIC,3178,KATHERINE,NT,850,1,13,0.0274,
3/05/2020 8:31,BRAESIDE,VIC,3195,DANDENONG,VIC,3175,1,6,0.0222,
3/05/2020 8:31,PORT MELBOURNE,VIC,3207,NEWINGTON,NSW,2127,1,1,0.0074,
3/05/2020 8:32,TRUGANINA,VIC,3029,PENRITH,NSW,2750,1,0.18,0.0173,
3/05/2020 8:32,HAZELMERE,WA,6055,OSBORNE PARK,WA,6017,2,92,0.6508,
3/05/2020 8:34,TRUGANINA,VIC,3029,MOORABBIN,VIC,3189,1,7.34,0.0308,
3/05/2020 8:34,TRUGANINA,VIC,3029,PEREGIAN,QLD,4573,1,0.45,0.0078,
3/05/2020 8:36,BRAESIDE,VIC,3195,TRARALGON,VIC,3844,1,3,0.0131,
3/05/2020 8:39,TRUGANINA,VIC,3029,EPSOM,VIC,3551,1,108.84,0.96,
3/05/2020 8:52,BRAESIDE,VIC,3195,KULUIN,QLD,4558,1,11,0.0922,
3/05/2020 8:55,CHESTER HILL,NSW,2162,COFFS HARBOUR,NSW,2450,5,1027,12.643,
3/05/2020 8:56,TRUGANINA,VIC,3029,ROCKINGHAM,WA,6168,1,0.53,0.0199,
3/05/2020 8:56,LANE COVE,NSW,2066,HEIDELBERG WEST,VIC,3081,5,2585,6.36,
3/05/2020 9:01,TRUGANINA,VIC,3029,LISAROW,NSW,2250,1,0.28,0.1324,
